I,V,R,P,mAh,wh,time,
0.0997,4.1699,41.8319,0.4157,28.3098,0.1186,   0:17: 4,
0.0996,4.1698,41.8809,0.4152,28.4344,0.1191,   0:17: 9,
0.0996,4.1697,41.8664,0.4153,28.5590,0.1196,   0:17:13,
0.0996,4.1695,41.8719,0.4152,28.6835,0.1201,   0:17:18,
0.0994,4.1694,41.9312,0.4146,28.8087,0.1206,   0:17:22,
0.0995,4.1693,41.9028,0.4148,28.9338,0.1212,   0:17:27,
0.0995,4.1691,41.8811,0.4150,29.0584,0.1217,   0:17:31,
0.0996,4.1689,41.8727,0.4151,29.1830,0.1222,   0:17:36,
0.0995,4.1689,41.8854,0.4149,29.3077,0.1227,   0:17:40,
0.0995,4.1687,41.8843,0.4149,29.4323,0.1232,   0:17:45,
0.0996,4.1686,41.8663,0.4151,29.5569,0.1238,   0:17:49,
0.0996,4.1685,41.8476,0.4152,29.6820,0.1243,   0:17:54,
0.0996,4.1683,41.8664,0.4150,29.8071,0.1248,   0:17:58,
0.0996,4.1682,41.8382,0.4153,29.9317,0.1253,   0:18: 3,
0.0996,4.1681,41.8372,0.4153,30.0563,0.1258,   0:18: 7,
0.0996,4.1679,41.8357,0.4152,30.1809,0.1264,   0:18:12,
0.0996,4.1678,41.8444,0.4151,30.3066,0.1269,   0:18:16,
0.0996,4.1677,41.8399,0.4151,30.4312,0.1274,   0:18:21,
0.0995,4.1676,41.8656,0.4149,30.5558,0.1279,   0:18:25,
0.0996,4.1674,41.8404,0.4151,30.6815,0.1284,   0:18:30,
0.0996,4.1673,41.8358,0.4151,30.8066,0.1290,   0:18:34,
0.0997,4.1672,41.8145,0.4153,30.9313,0.1295,   0:18:39,
0.0996,4.1670,41.8264,0.4151,31.0560,0.1300,   0:18:43,
0.0997,4.1669,41.8118,0.4153,31.1812,0.1305,   0:18:48,
0.0996,4.1668,41.8340,0.4150,31.3063,0.1311,   0:18:53,
0.0996,4.1666,41.8459,0.4149,31.4309,0.1316,   0:18:57,
0.0996,4.1665,41.8512,0.4148,31.5560,0.1321,   0:19: 2,
0.0996,4.1664,41.8369,0.4149,31.6806,0.1326,   0:19: 6,
0.0997,4.1662,41.7918,0.4153,31.8052,0.1331,   0:19:11,
0.0997,4.1661,41.7971,0.4153,31.9299,0.1336,   0:19:15,
0.0998,4.1660,41.7622,0.4156,32.0551,0.1342,   0:19:20,
0.0997,4.1659,41.7948,0.4152,32.1804,0.1347,   0:19:24,
0.0995,4.1658,41.8508,0.4147,32.3050,0.1352,   0:19:29,
0.0997,4.1656,41.7754,0.4154,32.4303,0.1357,   0:19:33,
0.0997,4.1655,41.7878,0.4152,32.5550,0.1363,   0:19:38,
0.0996,4.1654,41.8064,0.4150,32.6802,0.1368,   0:19:42,
0.0997,4.1652,41.7950,0.4151,32.8049,0.1373,   0:19:47,
0.0997,4.1651,41.7936,0.4151,32.9295,0.1378,   0:19:51,
0.0998,4.1650,41.7524,0.4155,33.0542,0.1383,   0:19:56,
0.0996,4.1648,41.8180,0.4148,33.1788,0.1389,   0:20: 0,
0.0997,4.1647,41.7933,0.4150,33.3035,0.1394,   0:20: 5,
0.0996,4.1646,41.8191,0.4147,33.4291,0.1399,   0:20: 9,
0.0996,4.1645,41.8311,0.4146,33.5536,0.1404,   0:20:14,
0.0996,4.1643,41.8128,0.4147,33.6783,0.1409,   0:20:18,
0.0996,4.1642,41.8050,0.4148,33.8029,0.1415,   0:20:23,
0.0996,4.1641,41.8008,0.4148,33.9275,0.1420,   0:20:27,
0.0997,4.1640,41.7860,0.4149,34.0521,0.1425,   0:20:32,
0.0996,4.1639,41.8083,0.4147,34.1768,0.1430,   0:20:36,
0.0996,4.1637,41.8135,0.4146,34.3020,0.1435,   0:20:41,
0.0997,4.1636,41.7450,0.4153,34.4272,0.1440,   0:20:45,
0.0997,4.1635,41.7677,0.4150,34.5525,0.1446,   0:20:50,
0.0996,4.1634,41.7829,0.4148,34.6771,0.1451,   0:20:54,
